startX,startY,endX,endY,speed,type
30,14,62,14,2,patrolling
46,9,46,15,3,patrolling
70,20,92,20,2,patrolling
74,6,74,22,2,patrolling
20,28,20,48,2,patrolling
8,30,28,30,2,patrolling
48,40,0,0,1,following
40,28,60,28,2,patrolling
70,32,92,32,2,patrolling
90,50,72,50,2,patrolling
80,34,80,50,2,patrolling
51,50,51,56,3,patrolling
6,60,38,60,2,patrolling
36,86,8,86,2,patrolling
20,64,20,84,2,patrolling
30,70,30,88,4,patrolling
72,78,82,78,4,patrolling
90,62,90,74,4,patrolling
34,12,0,0,3,following
88,48,0,0,3,following
34,80,0,0,2,following
